EVENTDATE,COUNTRY,ROUNDS,FIGHTER1,FIGHTERa,STANCE,DOB,COUNTRY,HEIGHT,WEIGHT,REACH,STRIKES_LANDED,STRIKING_ACCURACY,STRIKES_ABSORBED,STRIKING_DEFENCE,TAKEDOWNS_LANDED,TAKEDOWN_ACCURACY,TAKEDOWN_DEFENCE,SUBMISSION_AVERAGE,KNOCKDOWN_RATIO,AVERAGE_FIGHTTIME,STRIKES_STANDING,CLINCH_STRIKES,GROUND_STRIKES,HEAD_STRIKES,BODY_STRIKES,LEG_STRIKES,FIGHTER1RECENT1,FIGHTER1RECENT2,FIGHTER1RECENT3,FIGHTER1RECENT4,FIGHTER1NUMUFCFIGHTS,FIGHTER1RECENTBONUSES,FIGHTER1WINRECORD,FIGHTER1LOSSRECORD,FIGHTER1LAYOFFTIME,FIGHTER2,FIGHTERb,STANCE2,DOB2,COUNTRY2,HEIGHT2,WEIGHT2,REACH2,STRIKES_LANDED2,STRIKING_ACCURACY2,STRIKES_ABSORBED2,STRIKING_DEFENCE2,TAKEDOWNS_LANDED2,TAKEDOWN_ACCURACY2,TAKEDOWN_DEFENCE2,SUBMISSION_AVERAGE2,KNOCKDOWN_RATIO2,AVERAGE_FIGHTTIME2,STRIKES_STANDING2,CLINCH_STRIKES2,GROUND_STRIKES2,HEAD_STRIKES2,BODY_STRIKES2,LEG_STRIKES2,FIGHTER2RECENT1,FIGHTER2RECENT2,FIGHTER2RECENT3,FIGHTER2RECENT4,FIGHTER2NUMUFCFIGHTS,FIGHTER2RECENTBONUSES,FIGHTER2WINRECORD,FIGHTER2LOSSRECORD,FIGHTER2LAYOFFTIME,FIGHTER1OUTCOMEFORFIGHT,FIGHTER1WIN
21/04/2012, USA,3,Anthony Njokuani,Anthony Njokuani,Orthodox,1980, Nigeria,185,155,190,3.94,0.46,2.41,0.65,0.5,0.45,0.53,0.2,0.6,9.55,0.77,0.16,0.07,0.52,0.27,0.21,S-DECLOSS,U-DECWIN,U-DECLOSS,KO/TKOWIN,10,1,14,9,4,John Makdessi,John Makdessi,Orthodox,1985, Canada,172,155,172,5.36,0.51,3.76,0.7,0,0,0.88,0,0.49,11.25,0.93,0.05,0.03,0.53,0.24,0.23,SUBLOSS,KO/TKOWIN,U-DECWIN,NA,3,0,9,1,4,U-DECWIN,WINNER-FIGHTER1
21/04/2012, USA,5,Jon Jones,Jon Jones,Orthodox,1987, United States,193,205,213,4.3,0.57,2.22,0.64,1.85,0.44,0.95,0.4,0.22,15.28,0.65,0.17,0.18,0.47,0.25,0.29,SUBWIN,SUBWIN,KO/TKOWIN,SUBWIN,10,2,15,0,4,Rashad Evans,Rashad Evans,Orthodox,1979, United States,182,205,190,2.14,0.37,2.42,0.63,2.98,0.44,0.73,0,0.21,12.33,0.58,0.19,0.23,0.79,0.14,0.07,U-DECWIN,KO/TKOWIN,U-DECWIN,U-DECWIN,17,1,17,1,3,U-DECWIN,WINNER-FIGHTER1
21/04/2012, USA,3,Efrain Escudero,Efrain Escudero,Orthodox,1986, Mexico,175,155,180,2.92,0.44,2.3,0.63,1.31,0.4,0.66,0.8,0.5,12.25,0.63,0.21,0.16,0.6,0.16,0.24,U-DECLOSS,SUBLOSS,U-DECWIN,SUBLOSS,6,0,26,8,4,Mac Danzig,Mac Danzig,Orthodox,1980, United States,172,155,177,3.39,0.48,3.44,0.57,1.2,0.37,0.46,0.6,0.32,11.08,0.69,0.2,0.12,0.68,0.19,0.12,U-DECLOSS,KO/TKOWIN,SUBLOSS,U-DECWIN,11,1,20,9,6,U-DECLOSS,WINNER-FIGHTER2
21/04/2012, USA,3,Ben Rothwell,Ben Rothwell,Orthodox,1981, United States,193,266,198,3.37,0.43,4.44,0.46,0.68,0.33,0.69,0.3,0.37,10.15,0.79,0.08,0.12,0.74,0.13,0.13,U-DECLOSS,U-DECWIN,KO/TKOLOSS,KO/TKOWIN,11,0,31,8,7,Brendan Schaub,Brendan Schaub,Orthodox,1983, United States,193,245,198,2.92,0.37,2.22,0.57,2.32,0.46,0.72,0.4,0.77,7.03,0.51,0.26,0.22,0.84,0.15,0.01,KO/TKOLOSS,KO/TKOWIN,U-DECWIN,KO/TKOWIN,6,0,8,2,8,KO/TKOWIN,WINNER-FIGHTER1
21/04/2012, USA,3,Chad Griggs,Chad Griggs,Orthodox,1978, United States,185,205,185,2.67,0.5,2.22,0.46,1.51,0.66,0.41,0,0,2.27,1,0,0,0,0.5,0.5,KO/TKOWIN,KO/TKOWIN,KO/TKOWIN,NA,3,0,11,1,10,Travis Browne,Travis Browne,Orthodox,1982, United States,200,255,200,2.93,0.41,4.31,0.42,1.21,0.68,0.75,0.2,0.66,8.02,0.62,0.14,0.24,0.6,0.25,0.16,U-DECWIN,KO/TKOWIN,U-DECLOSS,KO/TKOWIN,4,0,12,0,7,SUBLOSS,WINNER-FIGHTER2
5/05/2012, USA,5,Nate Diaz,Nate Diaz,Southpaw,1985,United States,185,155,193,4.62,0.45,3.78,0.53,1.19,0.3,0.42,1.4,0.18,11.12,0.67,0.24,0.09,0.75,0.16,0.09,U-DECWIN,SUBWIN,U-DECLOSS,U-DECLOSS,20,2,16,7,5,Jim Miller,Jim Miller,Southpaw,1983, United States,172,150,180,2.73,0.4,2.99,0.59,1.69,0.43,0.46,1.9,0.13,9.54,0.68,0.17,0.15,0.59,0.21,0.2,SUBWIN,U-DECLOSS,KO/TKOWIN,SUBWIN,12,0,21,2,4,SUBWIN,WINNER-FIGHTER1
5/05/2012, USA,3,Lavar Johnson,Lavar Johnson,Orthodox,1977, United States,193,240,208,5.39,0.55,2.54,0.55,0.61,0.66,0.54,0.6,1.19,6.17,0.4,0.47,0.13,0.7,0.19,0.1,KO/TKOWIN,SUBLOSS,SUBLOSS,KO/TKOWIN,6,0,17,8,4,Pat Barry,Pat Barry,Orthodox,1979, United States,180,235,187,2.72,0.52,3.54,0.59,0,0,0.76,0.2,1.74,5.46,0.88,0.04,0.08,0.51,0.06,0.43,KO/TKOWIN,SUBLOSS,KO/TKOLOSS,U-DECWIN,8,1,7,4,4,KO/TKOWIN,WINNER-FIGHTER1
5/05/2012, USA,3,Michael Johnson,Michael Johnson,Southpaw,1986, United States,177,156,185,4.23,0.38,3.85,0.58,0.51,0.45,0.79,0.1,0.56,11.33,0.88,0.08,0.04,0.54,0.29,0.17,U-DECWIN,SUBLOSS,KO/TKOWIN,U-DECLOSS,4,0,11,6,4,Tony Ferguson,Tony Ferguson,Orthodox,1984, United States,180,155,193,5.8,0.45,4.04,0.59,0.49,0.42,0.75,1.2,0.3,10.04,0.89,0.03,0.08,0.64,0.16,0.2,U-DECWIN,KO/TKOWIN,KO/TKOWIN,NA,3,0,14,2,5,U-DECWIN,WINNER-FIGHTER1
5/05/2012, USA,3,Danny Castillo,Danny Castillo,Orthodox,1979, United States,175,155,180,2.57,0.42,1.96,0.62,2.95,0.38,0.63,0.2,0.19,10.53,0.52,0.18,0.3,0.64,0.16,0.2,S-DECWIN,KO/TKOWIN,U-DECLOSS,U-DECWIN,12,0,13,4,5,John Cholish,John Cholish,Orthodox,1983, United States,180,155,187,2.65,0.49,2.29,0.73,1.82,0.31,0.78,0.4,0,10.43,0.76,0.05,0.18,0.69,0.09,0.23,KO/TKOWIN,SUBWIN,NA,NA,2,0,8,1,5,U-DECWIN,WINNER-FIGHTER1
5/05/2012, USA,3,Karlos Vemola,Karlos Vemola,Orthodox,1985,72,182,185,190,1.67,0.44,2.13,0.37,1.93,0.25,0.31,1.7,0,9.04,0.3,0.16,0.54,0.73,0.16,0.11,U-DECLOSS,KO/TKOWIN,U-DECLOSS,NA,3,0,16,3,9,Mike Massenzio,Mike Massenzio,Southpaw,1982, United States,187,185,185,2.08,0.45,3.59,0.54,2.74,0.24,0.5,1.4,0.27,7.5,0.88,0.1,0.03,0.83,0.11,0.06,SUBLOSS,U-DECWIN,U-DECLOSS,SUBLOSS,6,1,13,8,4,SUBWIN,WINNER-FIGHTER1
