EVENTDATE,COUNTRYOFEVENT,fighter1 reach advantage,fighter 1 age advantage,fighter1 height advantage,ROUNDS,FIGHTER1,FIGHTERa,STANCE,DOB,COUNTRY,HEIGHT,WEIGHT,REACH,STRIKES_LANDED,STRIKING_ACCURACY,STRIKES_ABSORBED,STRIKING_DEFENCE,TAKEDOWNS_LANDED,TAKEDOWN_ACCURACY,TAKEDOWN_DEFENCE,SUBMISSION_AVERAGE,KNOCKDOWN_RATIO,AVERAGE_FIGHTTIME,STRIKES_STANDING,CLINCH_STRIKES,GROUND_STRIKES,HEAD_STRIKES,BODY_STRIKES,LEG_STRIKES,FIGHTER1RECENT1,FIGHTER1RECENT2,FIGHTER1RECENT3,FIGHTER1RECENT4,FIGHTER1NUMUFCFIGHTS,FIGHTER1RECENTBONUSES,FIGHTER1WINRECORD,FIGHTER1LOSSRECORD,FIGHTER1LAYOFFTIME,FIGHTER2,FIGHTERb,STANCE2,DOB2,COUNTRY2,HEIGHT2,WEIGHT2,REACH2,STRIKES_LANDED2,STRIKING_ACCURACY2,STRIKES_ABSORBED2,STRIKING_DEFENCE2,TAKEDOWNS_LANDED2,TAKEDOWN_ACCURACY2,TAKEDOWN_DEFENCE2,SUBMISSION_AVERAGE2,KNOCKDOWN_RATIO2,AVERAGE_FIGHTTIME2,STRIKES_STANDING2,CLINCH_STRIKES2,GROUND_STRIKES2,HEAD_STRIKES2,BODY_STRIKES2,LEG_STRIKES2,FIGHTER2RECENT12,FIGHTER2RECENT22,FIGHTER2RECENT32,FIGHTER2RECENT42,FIGHTER2NUMUFCFIGHTS2,FIGHTER2RECENTBONUSES2,FIGHTER2WINRECORD2,FIGHTER2LOSSRECORD2,FIGHTER2LAYOFFTIME2,FIGHTER1OUTCOME,FIGHTER1WIN
17/11/2018, Argenti0,20,5,15,3,Bartosz Fabinski,Bartosz Fabinski,1,1986, Poland,182,190,190,2.2,0.69,1.35,0.53,7.08,0.69,0.8,0,0,11.31,0.26,0.41,0.32,0.62,0.27,0.11,3,3,3,0,3,0,15,2,4,Michel Prazeres,Michel Prazeres,1,1981, Brazil,167,170,170,2.44,0.47,2.49,0.58,4.11,0.36,0.5,0.6,0.18,12.38,0.73,0.1,0.17,0.68,0.16,0.16,4,3,2,2,11,1,25,2,6,7,0
14/07/2018, USA,10,3,15,3,Rick Glenn,Rick Glenn,2,1989, USA,182,145,177,4.31,0.42,4.29,0.53,0.67,0.13,0.66,0.3,0.17,15,0.57,0.17,0.26,0.63,0.25,0.11,6,3,4,6,4,1,20,5,7,Dennis Bermudez,Dennis Bermudez,1,1986, USA,167,155,167,4.42,0.46,3.07,0.59,3.89,0.4,0.82,1.1,0.38,11.35,0.53,0.18,0.29,0.67,0.15,0.18,5,5,8,3,15,0,16,8,6,4,1
7/07/2018, USA,21,3,15,5,Stipe Miocic,Stipe Miocic,1,1982, USA,195,240,203,4.9,0.52,3.75,0.55,1.92,0.34,0.7,0,0.53,10.39,0.68,0.12,0.19,0.76,0.12,0.12,3,1,1,1,14,2,18,2,6,Daniel Cormier,Daniel Cormier,1,1979, USA,180,205,182,4.25,0.52,2.92,0.54,1.83,0.44,0.8,0.4,0.16,13.02,0.56,0.25,0.19,0.76,0.13,0.11,1,5,2,3,19,1,20,1,6,8,0
19/05/2018, Chile,20,3,15,3,Zak Cummings,Zak Cummings,2,1984, USA,182,170,190,2.58,0.32,2.83,0.55,0.68,0.28,0.65,0.7,0.44,10.19,0.75,0.17,0.08,0.62,0.19,0.19,2,2,6,3,9,0,21,5,13,Michel Prazeres,Michel Prazeres,1,1981, Brazil,167,170,170,2.44,0.47,2.49,0.58,4.11,0.36,0.5,0.6,0.18,12.38,0.73,0.1,0.17,0.68,0.16,0.16,3,2,2,3,10,1,24,2,3,5,0
7/04/2018, USA,8,4,15,3,Zabit Magomedsharipov,Zabit Magomedsharipov,1,1991, Russia,185,145,185,4.89,0.48,3,0.64,5.22,0.56,0.77,0.8,0,12.32,0.75,0.05,0.2,0.73,0.13,0.15,2,2,0,0,2,2,14,1,5,Kyle Bochniak,Kyle Bochniak,1,1987, USA,170,145,177,2.63,0.31,5.11,0.58,1.14,0.15,0.62,0,0.17,15,0.9,0.08,0.02,0.66,0.13,0.21,3,6,4,6,4,0,8,2,3,3,1
13/07/2016, USA,7,1,15,5,Michael McDo0ld,Michael McDo0ld,1,1991, USA,175,135,177,2.69,0.42,2.76,0.57,1.09,0.66,0.52,1.4,1.09,8.17,0.83,0.09,0.09,0.79,0.11,0.1,2,7,2,7,9,1,17,3,6,John Lineker,John Lineker,1,1990, Brazil,160,136,170,5.36,0.4,4.27,0.56,0.56,0.58,0.67,0.6,1.04,11.33,0.81,0.09,0.11,0.56,0.36,0.09,3,2,3,1,10,2,27,7,2,8,0
19/03/2016, Australia,23,9,15,3,Neil Magny,Neil Magny,1,1987, USA,190,170,203,3.96,0.48,2.15,0.56,2.63,0.45,0.59,0.3,0.11,12.02,0.55,0.19,0.26,0.71,0.18,0.12,4,3,7,1,13,3,17,5,4,Hector Lombard,Hector Lombard,2,1978, Cuba,175,170,180,3.02,0.46,3.35,0.53,1.69,0.48,0.77,0.5,0.81,10.51,0.7,0.14,0.16,0.66,0.12,0.22,5,3,1,5,8,0,34,4,14,1,1
25/07/2015, USA,3,1,15,3,James Krause,James Krause,1,1986, USA,187,155,185,4.65,0.48,4.09,0.6,1.05,0.18,0.5,1,0.29,11.11,0.9,0.07,0.04,0.72,0.14,0.14,5,6,1,8,7,0,20,8,5,Daron Cruickshank,Daron Cruickshank,3,1985, USA,172,155,182,2.88,0.38,2.98,0.57,2.04,0.41,0.6,0.2,0.57,10.11,0.72,0.16,0.11,0.57,0.28,0.16,7,5,3,6,11,0,18,8,4,2,1
11/07/2015, USA,8,4,15,3,Cathal Pendred,Cathal Pendred,1,1987, Ireland,185,170,190,2.49,0.44,3.01,0.55,2.46,0.23,0.83,0.4,0,12.12,0.77,0.22,0.01,0.3,0.21,0.49,3,3,4,2,4,1,17,2,1,John Howard,John Howard,1,1983, USA,170,170,182,2.15,0.5,3.08,0.51,2.7,0.49,0.53,0.4,0.17,12.17,0.6,0.27,0.13,0.47,0.18,0.34,8,5,6,3,12,0,23,12,6,5,0
4/04/2015, USA,10,5,15,3,Alexander Yakovlev,Alexander Yakovlev,2,1984, Russia,190,155,187,1.79,0.47,2.44,0.58,1.56,0.33,0.72,0.2,0.41,12.1,0.79,0.12,0.09,0.49,0.26,0.25,6,6,0,0,2,0,21,6,6,Gray May0rd,Gray May0rd,1,1979, USA,175,155,177,1.92,0.32,2.64,0.66,2.91,0.47,0.81,0.7,0.35,12.52,0.65,0.15,0.2,0.75,0.2,0.04,8,8,8,4,15,0,11,4,8,3,1
23/08/2014, USA,21,0,15,3,Neil Magny,Neil Magny,1,1987, USA,190,170,203,3.96,0.48,2.15,0.56,2.63,0.45,0.59,0.3,0.11,12.02,0.55,0.19,0.26,0.71,0.18,0.12,1,3,3,6,6,0,11,4,2,Alex Garcia,Alex Garcia,1,1987, Dominican Republic,175,170,182,1.81,0.31,3.03,0.59,3.72,0.52,0.66,0.1,0.38,11.42,0.75,0.14,0.1,0.83,0.12,0.05,4,1,0,0,2,0,12,1,5,3,1
24/05/2014, USA,5,2,15,3,James Krause,James Krause,1,1986, USA,187,155,185,4.65,0.48,4.09,0.6,1.05,0.18,0.5,1,0.29,11.11,0.9,0.07,0.04,0.72,0.14,0.14,8,2,6,7,4,1,19,6,6,Jamie Varner,Jamie Varner,1,1984, USA,172,155,180,2.92,0.34,2.55,0.58,3.49,0.53,0.66,0.8,0.64,9.36,0.63,0.14,0.22,0.75,0.19,0.06,8,5,4,7,15,2,21,9,3,1,1
19/04/2014, USA,13,-2,15,3,Seth Baczynski,Seth Baczynski,1,1981, USA,190,170,190,3.08,0.31,3.14,0.51,0.89,0.16,0.48,0.8,0.3,9.09,0.67,0.21,0.12,0.66,0.23,0.11,3,8,6,1,8,0,20,11,5,Thiago Alves,Thiago Alves,1,1983, Brazil,175,171,177,3.73,0.41,3.42,0.62,0.71,0.6,0.63,0.3,0.7,11.1,0.77,0.12,0.11,0.52,0.14,0.35,7,2,6,3,17,0,19,9,25,6,0
6/04/2013, Sweden,23,-4,15,3,Pablo Garza,Pablo Garza,1,1983, USA,185,145,185,3.37,0.44,2.7,0.5,0.94,0.25,0.15,1.3,0.31,6.5,0.48,0.12,0.4,0.54,0.28,0.18,3,6,7,2,6,0,12,3,5,Diego Brandao,Diego Brandao,1,1987, Brazil,170,145,162,2.94,0.47,3.38,0.62,3.21,0.68,0.8,0.6,0.57,7.56,0.7,0.11,0.19,0.68,0.21,0.11,3,6,2,0,3,1,18,8,6,7,0
7/07/2012, USA,15,2,15,3,Cody McKenzie,Cody McKenzie,3,1987, USA,182,155,182,1.74,0.34,2.5,0.67,2.5,0.25,0.14,2.5,0,7.43,0.71,0.13,0.16,0.78,0.13,0.1,2,7,7,2,4,1,15,8,2,Chad Mendes,Chad Mendes,1,1985, USA,167,145,167,2.78,0.49,2.35,0.67,4.13,0.55,1,0.3,0.73,9.05,0.63,0.07,0.3,0.69,0.09,0.22,8,3,3,3,7,0,11,1,6,8,0
29/10/2011, USA,8,4,15,3,Do0ld Cerrone,Do0ld Cerrone,1,1983, USA,185,170,185,4.43,0.46,4.46,0.53,1.19,0.33,0.73,1.2,0.86,9.44,0.83,0.09,0.08,0.51,0.24,0.25,1,3,2,2,13,3,16,2,2,Dennis Siver,Dennis Siver,1,1979, Russia,170,145,177,3.87,0.32,2.67,0.65,0.87,0.32,0.65,0.3,0.47,10.41,0.85,0.05,0.1,0.57,0.14,0.3,3,3,2,3,12,1,19,6,3,2,1
